===========================================================================
  国連加盟国等 195カ国 データリスト
  人口: UN DESA World Population Prospects 2024（2023年中間推計、千人単位）
  面積: UN Statistics Division / World Bank（km²）
  ※ バチカン・パレスチナはオブザーバー国家
===========================================================================

【面積ランキング】
  順位  国名                        地域                 面積(km²)        人口(千人)
---------------------------------------------------------------------------
   1  ロシア                       欧州              17,098,242       144,444
   2  カナダ                       北米               9,984,670        38,781
   3  中国                        アジア              9,596,960     1,409,670
   4  アメリカ                      北米               9,372,610       335,893
   5  ブラジル                      南米               8,515,767       215,313
   6  オーストラリア                   オセアニア            7,692,024        26,439
   7  インド                       アジア              3,287,263     1,428,628
   8  アルゼンチン                    南米               2,780,400        45,773
   9  カザフスタン                    アジア              2,724,900        19,197
  10  アルジェリア                    アフリカ             2,381,741        45,606
  11  コンゴ民主共和国                  アフリカ             2,344,858        99,010
  12  サウジアラビア                   アジア              2,149,690        36,408
  13  メキシコ                      北米               1,964,375       128,455
  14  インドネシア                    アジア              1,904,569       277,534
  15  スーダン                      アフリカ             1,861,484        45,658
  16  リビア                       アフリカ             1,759,540         7,062
  17  イラン                       アジア              1,648,195        87,923
  18  モンゴル                      アジア              1,564,116         3,398
  19  ペルー                       南米               1,285,216        33,358
  20  チャド                       アフリカ             1,284,000        17,414
  21  ニジェール                     アフリカ             1,267,000        26,207
  22  アンゴラ                      アフリカ             1,246,700        35,589
  23  マリ                        アフリカ             1,240,192        22,414
  24  南アフリカ                     アフリカ             1,219,090        59,893
  25  コロンビア                     南米               1,141,748        51,874
  26  エチオピア                     アフリカ             1,104,300       126,527
  27  ボリビア                      南米               1,098,581        12,388
  28  モーリタニア                    アフリカ             1,030,700         4,615
  29  エジプト                      アフリカ             1,001,449       105,915
  30  タンザニア                     アフリカ               945,087        65,498
  31  ナイジェリア                    アフリカ               923,768       223,804
  32  ベネズエラ                     南米                 912,050        28,302
  33  ナミビア                      アフリカ               824,292         2,588
  34  モザンビーク                    アフリカ               801,590        32,790
  35  パキスタン                     アジア                796,095       231,402
  36  トルコ                       欧州                 783,562        85,341
  37  チリ                        南米                 756,102        19,629
  38  ザンビア                      アフリカ               752,618        20,018
